country_name,year,life_ladder,log_gdp_per_capita,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Liberia,2023,4.49391508102417,7.308547019958496,0.6295098662376404,57.29999923706055,0.7197529077529907,0.038619264960289,0.8341772556304932,0.6083629131317139,0.42834195494651794
Libya,2023,5.9702887535095215,NA,0.7481565475463867,66.0999984741211,0.7622228860855103,NA,0.6437333226203918,0.5848360061645508,0.3720777630805969
Lithuania,2023,6.552654266357422,10.575328826904297,0.8813190460205078,68.0999984741211,0.7339749932289124,-0.2321668267250061,0.7511261105537415,0.49328652024269104,0.20058664679527283
Luxembourg,2023,7.016062259674072,11.648711204528809,0.8791953325271606,71.69999694824219,0.9108132719993591,0.033439770340919495,0.34321078658103943,0.7507004737854004,0.1944953054189682
Madagascar,2023,4.433000564575195,7.332643032073975,0.6924046874046326,58.29999923706055,0.503715991973877,0.09586454927921295,0.7835307121276855,0.7184674143791199,0.3891581594944
Malawi,2023,3.272091865539551,7.278899192810059,0.4698515236377716,59.29999923706055,0.7383722066879272,0.014071165584027767,0.7452696561813354,0.5199799537658691,0.3383975625038147
Malaysia,2023,5.868102073669434,10.28280258178711,0.7785583138465881,65.5999984741211,0.9648317098617554,0.15356798470020294,0.753640353679657,0.7609888911247253,0.19488069415092468
Mali,2023,4.369976043701172,7.673252105712891,0.6410852670669556,56.20000076293945,0.775947093963623,-0.043414708226919174,0.7896780371665955,0.6601701378822327,0.32447436451911926
Malta,2023,6.294854640960693,NA,0.9116561412811279,71.69999694824219,0.850814700126648,NA,0.7800309062004089,0.6438156366348267,0.3613356053829193
Mauritania,2023,4.292047500610352,8.62022876739502,0.6061500310897827,60.70000076293945,0.5395804047584534,0.01832151599228382,0.6690117716789246,0.7075034976005554,0.3293444514274597
Mauritius,2023,5.759169101715088,10.082743644714355,0.8675780296325684,63.79999923706055,0.796654462814331,-0.002153122564777732,0.7689784169197083,0.6637082099914551,0.1600121110677719
Mexico,2023,7.005731582641602,9.900242805480957,0.8684161305427551,65.80000305175781,0.8700609803199768,-0.12375865131616592,0.7558702826499939,0.809243381023407,0.23315788805484772
Moldova,2023,5.801368236541748,9.491739273071289,0.8423149585723877,66.0999984741211,0.844444751739502,-0.1566391885280609,0.8600497245788574,0.5777193903923035,0.25091007351875305
Mongolia,2023,5.579622745513916,9.43319320678711,0.9378772377967834,60.70000076293945,0.69921112060546875,0.22011803090572357,0.871100664138794,0.5451667308807373,0.19740542769432068
Montenegro,2023,5.813005447387695,10.04067611694336,0.8531356453895569,67.4000015258789,0.7988186478614807,-0.06601469218730927,0.7056121826171875,0.48080340027809143,0.317708820104599
Morocco,2023,4.486514091491699,9.0094633102417,0.49951860308647156,64.0999984741211,0.8208004832267761,-0.09370332956314087,0.831204354763031,0.5487037301063538,0.4150283634662628
Mozambique,2023,5.704499244689941,7.14727783203125,0.7009750008583069,52.20000076293945,0.8670544028282166,0.0712420642375946,0.6777174472808838,0.6251108646392822,0.3347492218017578
Myanmar,2023,4.390633583068848,8.347352027893066,0.6845864057540894,62.20000076293945,0.695294976234436,0.5478011965751648,0.6863807439804077,0.6340785026550293,0.3577791750431061
Namibia,2023,5.05532169342041,9.16740894317627,0.8520726561546326,57.599998474121094,0.6739392876625061,-0.11272113025188446,0.8730018734931946,0.6347567439079285,0.20787902176380157
Nepal,2023,5.388708114624023,8.31812572479248,0.7494574785232544,62.400001525878906,0.7646791934967041,0.18355043232440948,0.7922512888908386,0.46058934926986694,0.35038939118385315
Netherlands,2023,7.254793643951416,10.97706413269043,0.9149224758148193,71.69999694824219,0.8472867012023926,0.22254084050655365,0.4239082634449005,0.6927058696746826,0.20169462263584137
New Zealand,2023,6.975955486297607,10.719568252563477,0.932887077331543,70.5,0.8766084313392639,0.181391641497612,0.30365580320358276,0.7381334900856018,0.2285827100276947
Nicaragua,2023,6.362124919891357,8.685056686401367,0.8362918496131897,65.80000305175781,0.9064910411834717,-0.008149704895913601,0.5316507816314697,0.7721434235572815,0.3399796485900879
Niger,2023,4.6086578369140625,7.181248664855957,0.6379470229148865,56.900001525878906,0.7669633030891418,0.029012048617005348,NA,0.7472664713859558,0.4166373312473297
Nigeria,2023,4.8689374923706055,8.513705253601074,0.7808888554573059,55.70000076293945,0.7201213836669922,0.20931750535964966,0.8765022158622742,0.7211174368858337,0.26619845628738403
North Macedonia,2023,5.403024673461914,9.775726318359375,0.8829155564308167,66.9000015258789,0.738114595413208,0.1233430951833725,0.9171363115310669,0.5174286961555481,0.27187469601631165
Norway,2023,7.248675346374512,11.124796867370605,0.9515860080718994,71.5999984741211,0.9376494288444519,0.21949315071105957,0.2448502480983734,0.7564838528633118,0.2283376306295395
Pakistan,2023,4.549314498901367,8.588458061218262,0.5530141592025757,58,0.6613704562187195,0.0704244077205658,0.8893992900848389,0.5040336847305298,0.4173682630062103
Panama,2023,6.543289661407471,10.4552001953125,0.8872889280319214,69.0999984741211,0.8519265055656433,-0.1468104124069214,0.8705905079841614,0.8285312652587891,0.2571079730987549
Paraguay,2023,6.2137885093688965,9.548639297485352,0.8886208534240723,66,0.9016361832618713,-0.003958556335419416,0.835490345954895,0.8325867056846619,0.24028100073337555
Peru,2023,5.935666084289551,9.4593963623046875,0.7865179777145386,70.19999694824219,0.7569955587387085,-0.060663074254989624,0.9194803833961487,0.7648443579673767,0.37036943435668945
Philippines,2023,6.183511734008789,9.101679801940918,0.7955292463302612,62.099998474121094,0.9318832159042358,-0.038038019090890884,0.7679218053817749,0.800451934337616,0.3244096636772156
Poland,2023,6.684652805328369,10.526970863342285,0.8900729417800903,69.4000015258789,0.7751436233520508,-0.2321598082780838,0.6617071032524109,0.5556963086128235,0.1551312655210495
Portugal,2023,5.954010963439941,10.504261016845703,0.8948500156402588,71.5,0.8465991616249084,-0.17552269995212555,0.8891578912734985,0.6614094376564026,0.3088172376155853
Romania,2023,6.488589763641357,10.430639266967773,0.825630784034729,67.30000305175781,0.8485971689224243,-0.20202508568763733,0.9046993851661682,0.6279113292694092,0.27097901701927185
Russia,2023,5.86481237411499,10.208745956420898,0.8537548780441284,65.69999694824219,0.7499661445617676,0.055555351078510284,0.7334346771240234,0.6161447167396545,0.19040261209011078
Saudi Arabia,2023,6.953373908996582,10.829442977905273,0.8844454884529114,64.80000305175781,NA,0.027502920478582382,NA,0.736897885799408,0.23986266553401947
Senegal,2023,5.0927252769470215,8.199542999267578,0.6684878468513489,60.599998474121094,0.7976100444793701,0.04802011325955391,0.8359814286231995,0.8248271942138672,0.2583414614200592
Serbia,2023,6.441013813018799,9.961326599121094,0.8949272036552429,67.4000015258789,0.8065032362937927,0.08489127457141876,0.7816974520683289,0.5262706875801086,0.20590627193450928
Sierra Leone,2023,3.4665777683258057,7.411620616912842,0.6014139652252197,56.099998474121094,0.693507194519043,0.10142827033996582,0.8663052916526794,0.5044357776641846,0.42998945713043213
Singapore,2023,6.653942108154297,NA,0.9163257479667664,74,0.8612334132194519,NA,0.1525430530309677,0.6671569347381592,0.19048550724983215
Slovakia,2023,6.26052188873291,10.424976348876953,0.9412627816200256,69.4000015258789,0.7531772255897522,-0.1357291340827942,0.8252387046813965,0.6467652916908264,0.2350347638130188
Slovenia,2023,6.7457685470581055,10.664344787597656,0.91065514087677,71.4000015258789,0.9314993619918823,0.03108157590031624,0.7500281929969788,0.6145375967025757,0.2564457654953003
South Africa,2023,5.075719356536865,9.5028839111328125,0.8392820954322815,58.29999923706055,0.7476697564125061,-0.10923086851835251,0.8614355325698853,0.7078587412834167,0.25473108887672424
South Korea,2023,6.111918926239014,10.741768836975098,0.7994413375854492,74.19999694824219,0.7623430490493774,-0.0036658442113548517,0.7135888338088989,0.6034004092216492,0.24532365798950195
Spain,2023,6.456033229827881,10.608960151672363,0.9121345281600952,72.5999984741211,0.778683066368103,-0.003899824805557728,0.674821138381958,0.6545935869216919,0.3251374661922455
Sri Lanka,2023,3.602454900741577,9.364070892333984,0.790229856967926,67.4000015258789,0.7539072036743164,0.05048927664756775,0.9218783974647522,0.709381639957428,0.35260486602783203
State of Palestine,2023,4.851185321807861,NA,0.831444501876831,NA,0.7077621221542358,NA,0.8081274032592773,0.5796462893486023,0.37829217314720154
Sweden,2023,7.1607770919799805,10.90213680267334,0.9266175627708435,72.4000015258789,0.926378607749939,0.1466682404279709,0.2530737817287445,0.7388259768486023,0.19444540143013
Switzerland,2023,6.968832969665527,11.169257164001465,0.9037570953369141,73.30000305175781,0.8909716606140137,0.10355420410633087,0.24674387276172638,0.7453679442405701,0.18458163738250732
Taiwan Province of China,2023,6.655351638793945,NA,0.8715512752532959,NA,0.794507622718811,NA,0.640639066696167,0.747687041759491,0.11053529381752014
Tajikistan,2023,5.3794708251953125,8.371051788330078,0.8707415461540222,62.599998474121094,NA,-0.05437767878174782,0.48238539695739746,0.6379448175430298,0.23134641349315643
Tanzania,2023,4.042028427124023,7.892750263214111,0.6634853482246399,60.29999923706055,0.8617294430732727,0.12164374440908432,0.6088986992835999,0.7021938562393188,0.2100706547498703
Thailand,2023,6.282364368438721,9.807331085205078,0.8730815052986145,68.5999984741211,0.9258362650871277,0.33799484372138977,0.8892999291419983,0.8107097148895264,0.217497318983078
Togo,2023,4.364938735961914,7.725253582000732,0.5471550822257996,58.20000076293945,0.6650118231773376,-0.07115679234266281,0.6849435567855835,0.5463051199913025,0.3617132306098938
Tunisia,2023,4.505141258239746,9.28178882598877,0.7015454769134521,67.0999984741211,0.4822421371936798,-0.22639518976211548,0.8824015855789185,0.4611584544181824,0.3641684949398041
Türkiye,2023,5.462700366973877,10.429203033447266,0.8595265746116638,69.0999984741211,0.5227965116500854,-0.15901827812194824,0.7475614547729492,0.34434664249420166,0.3485127091407776
Uganda,2023,4.466518878936768,7.758769512176514,0.8274398446083069,60.099998474121094,0.8476566076278687,0.06709029525518417,0.9118137359619141,0.7260516881942749,0.3763728439807892
Ukraine,2023,4.672444820404053,9.422674179077148,0.8391851782798767,64.80000305175781,0.7722635269165039,0.3697696328163147,0.9223912954330444,0.4903583526611328,0.38498812913894653
United Arab Emirates,2023,6.728384017944336,11.235544204711914,0.7758082151412964,66.5999984741211,0.8859221339225769,0.15521730482578278,NA,0.6546959280967712,0.30435457825660706
United Kingdom,2023,6.658042907714844,10.758543014526367,0.8858657479286194,70.5,0.8744441270828247,0.26972007751464844,0.4900300204753876,0.7190335988998413,0.2723240852355957
United States,2023,6.520872116088867,11.089292526245117,0.8605025410652161,65.5999984741211,0.721452534198761,0.18488723039627075,0.72170090675354,0.7063676118850708,0.2839933931827545
Uruguay,2023,6.661721706390381,10.12226390838623,0.9083744883537292,67.5,0.9041637778282166,-0.05025620013475418,0.6616575717926025,0.7534481287002563,0.2648172080516815
Uzbekistan,2023,6.3853607177734375,9.025871276855469,0.9088593125343323,65.9000015258789,0.9267838597297668,0.24713706970214844,0.6495397686958313,0.7517470121383667,0.20220699906349182
Venezuela,2023,5.7653632164001465,NA,0.8846679329872131,63.70000076293945,0.756530225276947,NA,0.8253929018974304,0.7576852440834045,0.3000379502773285
Vietnam,2023,6.325115203857422,9.392351150512695,0.8449050188064575,65.69999694824219,0.955560028553009,-0.15911364555358887,0.6552745699882507,0.7100675702095032,0.11951015144586563
Yemen,2023,3.531573534011841,NA,0.8249582052230835,56.599998474121094,0.5827242732048035,NA,0.7714635133743286,0.4465342164039612,0.34079355001449585
Zambia,2023,3.68556809425354,8.115053176879883,0.6640986800193787,56.099998474121094,0.854004442691803,0.0923767164349556,0.8141905665397644,0.6529994606971741,0.3591322600841522
Zimbabwe,2023,3.5723862648010254,7.678589820861816,0.6938174366950989,55,0.734612762928009,-0.06883670389652252,0.7574936747550964,0.60975182056427,0.1789533644914627
